Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
vza              0.0
azi              0.0

  WL           SOIL           LEAF green    LEAF brown          CANOPY
 (nm)   rso  rdo  rsd  rdd    refl  tran    refl  tran    rso  rdo  rsd  rdd
2070.  78.2 78.2 78.2 78.2    17.6  26.2    33.6  32.3   42.4 33.2 32.5 29.4
2080.  78.3 78.3 78.3 78.3    18.1  27.0    33.5  32.3   43.0 33.9 33.2 30.2
2090.  78.4 78.4 78.4 78.4    18.6  27.7    33.3  32.3   43.6 34.5 33.8 30.9
2100.  78.5 78.5 78.5 78.5    19.0  28.4    33.2  32.2   44.1 35.0 34.4 31.5
2110.  78.5 78.5 78.5 78.5    19.3  28.9    33.0  32.2   44.5 35.5 34.8 32.1
2120.  78.5 78.5 78.5 78.5    19.7  29.5    33.0  32.3   44.9 35.9 35.3 32.6
2130.  78.5 78.5 78.5 78.5    20.0  30.0    33.0  32.4   45.3 36.3 35.7 33.1
2140.  78.4 78.4 78.4 78.4    20.2  30.4    32.9  32.4   45.6 36.7 36.1 33.5
2150.  78.3 78.3 78.3 78.3    20.5  30.8    32.8  32.4   45.8 36.9 36.3 33.9
2160.  77.9 77.9 77.9 77.9    20.7  31.2    32.8  32.6   45.9 37.1 36.5 34.1
2170.  77.3 77.3 77.3 77.3    20.9  31.6    32.9  32.7   45.8 37.1 36.6 34.3
2180.  76.6 76.6 76.6 76.6    21.1  32.0    33.0  33.0   45.7 37.1 36.6 34.5
2190.  76.0 76.0 76.0 76.0    21.2  32.3    33.3  33.4   45.6 37.1 36.6 34.6
2200.  75.5 75.5 75.5 75.5    21.4  32.6    33.6  33.8   45.5 37.1 36.6 34.7
2210.  75.5 75.5 75.5 75.5    21.4  32.7    33.8  34.2   45.5 37.2 36.7 34.8
2220.  75.7 75.7 75.7 75.7    21.4  32.8    34.0  34.5   45.7 37.3 36.8 34.9
2230.  75.9 75.9 75.9 75.9    21.2  32.7    33.9  34.5   45.7 37.3 36.8 34.8
2240.  76.0 76.0 76.0 76.0    20.8  32.3    33.4  34.1   45.4 36.9 36.4 34.3
2250.  76.0 76.0 76.0 76.0    20.2  31.6    32.4  33.1   44.8 36.2 35.7 33.5
2260.  76.1 76.1 76.1 76.1    19.6  30.8    31.2  32.0   44.1 35.5 35.0 32.6
2270.  76.2 76.2 76.2 76.2    18.9  30.0    30.1  30.9   43.5 34.8 34.2 31.8
2280.  76.1 76.1 76.1 76.1    18.3  29.4    29.2  30.1   42.9 34.2 33.6 31.0
2290.  76.1 76.1 76.1 76.1    17.8  28.7    28.5  29.4   42.4 33.6 33.0 30.4
2300.  76.0 76.0 76.0 76.0    17.3  28.1    27.9  28.9   41.8 33.1 32.4 29.7
2310.  75.8 75.8 75.8 75.8    16.9  27.6    27.5  28.6   41.4 32.6 31.9 29.2
2320.  75.6 75.6 75.6 75.6    16.6  27.3    27.5  28.7   40.9 32.2 31.5 28.7
2330.  75.3 75.3 75.3 75.3    16.3  26.9    27.6  28.8   40.5 31.8 31.1 28.3
2340.  75.0 75.0 75.0 75.0    15.9  26.4    27.5  28.8   40.0 31.2 30.6 27.7
2350.  74.9 74.9 74.9 74.9    15.5  25.8    27.3  28.7   39.5 30.8 30.1 27.2
2360.  74.8 74.8 74.8 74.8    15.1  25.4    27.4  28.8   39.2 30.4 29.7 26.7
2370.  74.8 74.8 74.8 74.8    14.8  25.0    27.5  29.1   38.9 30.1 29.4 26.3
2380.  74.8 74.8 74.8 74.8    14.4  24.5    27.6  29.3   38.5 29.7 29.0 25.9
2390.  74.6 74.6 74.6 74.6    14.1  24.0    27.6  29.3   38.1 29.3 28.6 25.4
2400.  74.2 74.2 74.2 74.2    13.7  23.5    27.6  29.4   37.6 28.8 28.1 24.9
