Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
596	0.075043309	0.074425604	0.085133486	0.157793265	0.02811545	0.07892583
597	0.07492235	0.074096946	0.084986783	0.158717457	0.028170721	0.079275608
598	0.074792887	0.073765836	0.084813769	0.159635112	0.028234197	0.079617871
599	0.074641501	0.07341888	0.084607168	0.160560663	0.028314652	0.079972733
600	0.074459341	0.073054068	0.08436584	0.161470209	0.028379684	0.080326536
601	0.07425492	0.072667507	0.084085864	0.162381496	0.028443857	0.080672914
602	0.074008732	0.072241719	0.083744965	0.163274862	0.028501461	0.081000785
603	0.073736335	0.071800302	0.083355536	0.164197672	0.028576149	0.081337711
604	0.073448387	0.071349185	0.082924131	0.165156747	0.028662436	0.081688625
605	0.073129348	0.070868676	0.082442802	0.166109551	0.028744766	0.08203229
606	0.072768595	0.070354108	0.081907141	0.167041817	0.028815876	0.082356193
607	0.072374523	0.069807308	0.081326835	0.168000219	0.028880852	0.082682496
608	0.071937276	0.069215474	0.080695272	0.168954152	0.028944606	0.082999427
609	0.071473521	0.068596027	0.080031573	0.169922963	0.029028044	0.083322586
610	0.071010882	0.067974515	0.079368963	0.170970903	0.029148899	0.083700916
611	0.07055351	0.067345858	0.07868812	0.172011179	0.029247163	0.084062898
612	0.070100319	0.066715123	0.07800549	0.173049674	0.029326117	0.084400312
613	0.069655411	0.066093908	0.077337647	0.174141668	0.029419573	0.084754663
614	0.069231424	0.065485575	0.076688723	0.175239124	0.029521635	0.085126373
615	0.068822696	0.064894636	0.076058384	0.176331323	0.029621884	0.085491334
616	0.068418259	0.064311948	0.075432487	0.177380485	0.029707901	0.085821147
617	0.068052818	0.063762612	0.074865936	0.178437498	0.029803932	0.086156683
618	0.067723772	0.063252478	0.074353137	0.17950568	0.029896327	0.086497354
619	0.067448747	0.062795771	0.073900351	0.180594543	0.029993559	0.086834122
620	0.06721844	0.062383957	0.073506668	0.18168668	0.030093069	0.087163275
621	0.067041464	0.062037743	0.073189285	0.18281368	0.030206347	0.087514523
622	0.066915794	0.061753839	0.07294849	0.183941019	0.030327704	0.087870102
623	0.066832357	0.061514804	0.072776397	0.18503453	0.030445918	0.088212219
624	0.06677631	0.061318579	0.072655244	0.186136434	0.030577943	0.088567819
625	0.066754775	0.061164182	0.072577605	0.187248136	0.030722719	0.08893424
626	0.066742734	0.061013138	0.072512588	0.188303066	0.030862405	0.089280025
627	0.06674336	0.060859356	0.072463178	0.189342827	0.03099563	0.089629133
